STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/26/2000,0,0,0,83,61
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/27/2000,0,0,0,83,64
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/28/2000,0,0,0,89,67
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/29/2000,0.21,0,0,79,60
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/30/2000,0,0,0,61,50
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",5/31/2000,0,0,0,68,31
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/1/2000,0,0,0,79,53
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/2/2000,0,0,0,89,70
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/3/2000,0,0,0,95,72
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/4/2000,0.38,0,0,89,62
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/5/2000,0.32,0,0,74,63
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/6/2000,0.1,0,0,69,64
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/7/2000,0.02,0,0,77,53
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/8/2000,0,0,0,76,57
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/9/2000,0,0,0,80,62
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/10/2000,0,0,0,88,64
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/11/2000,0,0,0,89,63
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/12/2000,0,0,0,90,70
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/13/2000,0,0,0,91,71
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/14/2000,0,0,0,95,74
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/15/2000,0.44,0,0,92,68
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/16/2000,0.02,0,0,89,69
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/17/2000,0,0,0,87,73
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/18/2000,0.01,0,0,90,72
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/19/2000,0.07,0,0,91,70
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/20/2000,0.01,0,0,88,67
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/21/2000,0,0,0,75,67
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/22/2000,0,0,0,87,71
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/23/2000,0.3,0,0,88,66
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/24/2000,0,0,0,90,70
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/25/2000,0,0,0,90,70
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/26/2000,0,0,0,91,73
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/27/2000,0.03,0,0,90,70
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/28/2000,0,0,0,90,71
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/29/2000,0.2,0,0,87,70
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",6/30/2000,0.32,0,0,77,63
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/1/2000,0,0,0,83,63
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/2/2000,0.07,0,0,84,61
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/3/2000,0,0,0,85,67
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/4/2000,0,0,0,88,70
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/5/2000,0.02,0,0,92,70
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/6/2000,0.03,0,0,91,72
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/7/2000,0,0,0,87,71
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/8/2000,0,0,0,82,66
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/9/2000,0.09,0,0,83,66
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/10/2000,0,0,0,90,69
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/11/2000,0,0,0,94,75
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/12/2000,0,0,0,92,71
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/13/2000,0,0,0,78,69
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/14/2000,0.31,0,0,76,67
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/15/2000,1.3,0,0,83,62
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/16/2000,0.03,0,0,87,68
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/17/2000,0.25,0,0,86,64
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/18/2000,0,0,0,88,68
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/19/2000,0,0,0,90,74
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/20/2000,0,0,0,91,66
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/21/2000,0,0,0,81,67
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/22/2000,0.28,0,0,79,67
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/23/2000,0,0,0,80,69
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/24/2000,2.05,0,0,80,66
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/25/2000,0.22,0,0,77,63
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/26/2000,0.31,0,0,67,63
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/27/2000,0,0,0,68,62
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/28/2000,0,0,0,84,68
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/29/2000,0.72,0,0,89,67
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/30/2000,0.01,0,0,86,67
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",7/31/2000,0.3,0,0,85,70
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/1/2000,0.3,0,0,85,70
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/2/2000,1.3,0,0,86,70
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/3/2000,0.22,0,0,85,71
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/4/2000,0.3,0,0,85,71
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/5/2000,0.51,0,0,85,68
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/6/2000,0,0,0,86,69
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/7/2000,0,0,0,88,71
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/8/2000,0,0,0,92,75
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/9/2000,0,0,0,91,75
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/10/2000,0.24,0,0,93,68
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/11/2000,0,0,0,92,68
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/12/2000,0,0,0,86,67
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/13/2000,0,0,0,84,63
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/14/2000,0.09,0,0,77,62
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/15/2000,0,0,0,83,63
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/16/2000,0,0,0,86,63
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/17/2000,0,0,0,92,70
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/18/2000,0,0,0,85,72
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/19/2000,0.12,0,0,90,67
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/20/2000,0,0,0,81,62
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/21/2000,0,0,0,78,58
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/22/2000,0,0,0,77,57
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/23/2000,0,0,0,80,59
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/24/2000,0,0,0,85,64
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/25/2000,0,0,0,87,71
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/26/2000,0,0,0,83,66
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/27/2000,0,0,0,83,66
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/28/2000,0.3,0,0,84,65
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/29/2000,0.15,0,0,80,66
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/30/2000,0.1,0,0,81,78
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",8/31/2000,0.72,0,0,74,70
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/1/2000,1.86,0,0,84,70
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/2/2000,0.02,0,0,86,73
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/3/2000,1,0,0,82,71
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/4/2000,0.96,0,0,83,71
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/5/2000,2.03,0,0,79,62
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/6/2000,0.02,0,0,70,58
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/7/2000,0,0,0,60,58
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/8/2000,0,0,0,76,60
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/9/2000,0,0,0,79,60
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/10/2000,0,0,0,81,64
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/11/2000,0,0,0,83,65
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/12/2000,0,0,0,82,66
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/13/2000,0,0,0,84,67
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/14/2000,0.29,0,0,87,69
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/15/2000,0.11,0,0,85,68
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/16/2000,0,0,0,80,51
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/17/2000,0,0,0,68,51
USC00317079,"RALEIGH STATE UNIVERSITY, NC US",9/18/2000,0,0,0,69,52
