clipFilename,start,dur,itemId,itemFilename,itemUrl,itemTitle
12th-Street-rag_00694040_024_00-01-03.wav,63089,255,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_025_00-01-03.wav,63344,93,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_026_00-01-03.wav,63437,116,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_027_00-01-03.wav,63553,325,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_028_00-01-03.wav,63878,209,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_029_00-01-04.wav,64087,116,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_030_00-01-04.wav,64203,186,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_031_00-01-04.wav,64389,116,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_032_00-01-04.wav,64505,186,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_033_00-01-47.wav,107926,256,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_034_00-01-48.wav,108182,93,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_035_00-01-48.wav,108275,162,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_036_00-01-48.wav,108437,93,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_037_00-01-48.wav,108530,139,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_038_00-01-48.wav,108669,186,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_039_00-01-48.wav,108855,93,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_040_00-01-48.wav,108948,139,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_041_00-01-49.wav,109087,209,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
12th-Street-rag_00694040_042_00-01-49.wav,109296,163,00694040,00694040.wav,http://www.loc.gov/item/00694040/,12th Street rag
